id,title,type,release_year,age_certification,runtime,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,genres1,genres2,genres3,genres4,genres5,genres6,genres7,genres8,genres9
ts272484,The Serpent Queen,SHOW,2022,TV-MA,52,['US'],1,tt14022350,7.7,5063,14.884,8.019,'drama',,,,,,,,
tm864613,Licorice Pizza,MOVIE,2021,R,133,"['CA', 'US']",,tt11271038,7.2,123138,29.66,7.033,'comedy', 'drama', 'romance',,,,,,
ts269167,Outer Range,SHOW,2022,TV-MA,50,['US'],1,tt11685912,7.1,28723,12.906,7,'western', 'thriller', 'drama',,,,,,
ts368725,Island,SHOW,2022,,51,['KR'],1,tt14166656,7.1,1269,91.585,7.9,'action', 'drama', 'fantasy', 'horror', 'thriller',,,,
ts114855,That Dirty Black Bag,SHOW,2022,TV-MA,48,['US'],1,tt7809420,7.1,3194,8.783,6.768,'western', 'drama',,,,,,,
tm1109713,The Outfit,MOVIE,2022,R,105,"['GB', 'US']",,tt14114802,7.1,49170,65.073,7.1,'thriller', 'drama', 'crime',,,,,,
ts236449,BMF,SHOW,2021,TV-MA,52,['US'],2,tt12208226,7.5,4648,87.01,8.209,'drama', 'crime',,,,,,,
ts281929,Invincible,SHOW,2021,TV-MA,45,['US'],2,tt6741278,8.7,146618,57.614,8.705,'scifi', 'action', 'drama', 'fantasy', 'thriller', 'horror', 'animation',,
ts256111,Night Sky,SHOW,2022,TV-MA,54,['US'],1,tt13361448,7.4,19386,22.342,7.2,'drama', 'scifi', 'fantasy',,,,,,
ts57325,The Wheel of Time,SHOW,2021,TV-MA,59,['US'],1,tt7462410,7.2,87846,96.823,7.766,'scifi', 'drama', 'fantasy', 'action',,,,,
tm431186,A Quiet Place Part II,MOVIE,2021,PG-13,97,['US'],,tt8332922,7.2,239402,100.964,7.5,'thriller', 'horror', 'scifi', 'drama',,,,,
ts343272,Welcome to Flatch,SHOW,2022,TV-14,21,['US'],2,tt11447470,6.6,2297,6.481,7.5,'comedy',,,,,,,,
tm974547,Ambulance,MOVIE,2022,R,136,['US'],,tt4998632,6.1,79145,76.81,6.8,'thriller', 'action', 'crime', 'drama', 'horror',,,,
ts313947,Tales of the Walking Dead,SHOW,2022,TV-MA,45,['US'],1,tt15669534,5.9,4288,66.675,7.546,'action', 'scifi', 'drama', 'fantasy', 'horror', 'thriller',,,
ts313840,The Outlaws,SHOW,2021,TV-MA,61,['GB'],2,tt11646832,7.7,13081,9.975,8.1,'crime', 'drama', 'comedy', 'thriller',,,,,
ts88470,The North Water,SHOW,2021,TV-MA,57,['US'],1,tt7660970,7.6,13946,11.192,7.519,'drama', 'thriller',,,,,,,
tm919225,Sonic the Hedgehog 2,MOVIE,2022,PG,122,"['JP', 'US']",,tt12412888,6.5,71015,283.109,7.599,'comedy', 'action', 'family', 'fantasy', 'scifi', 'animation',,,
ts216926,Harlem,SHOW,2021,TV-MA,35,['US'],2,tt10608454,7.1,4269,13.515,8,'comedy',,,,,,,,
ts309846,Shining Vale,SHOW,2022,TV-MA,30,['US'],2,tt7908756,6.9,3846,5.011,7.909,'comedy', 'fantasy', 'horror', 'drama',,,,,
ts269919,The Ipcress File,SHOW,2022,,49,['GB'],1,tt13636038,7.2,4536,7.879,7.1,'action', 'drama', 'war', 'thriller',,,,,
tm853917,Wrath of Man,MOVIE,2021,R,119,"['GB', 'US']",,tt11110916,7.1,184475,110.497,7.7,'thriller', 'action', 'crime', 'drama', 'comedy',,,,
tm1074798,Thirteen Lives,MOVIE,2022,PG-13,147,"['GB', 'US']",,tt12262116,7.8,57991,37.626,7.959,'drama', 'thriller', 'action',,,,,,
tm1047061,Secret Headquarters,MOVIE,2022,PG,104,['US'],,tt14001894,5.1,6094,178.021,6.8,'action', 'scifi', 'family', 'comedy',,,,,
tm1251633,The Visitor,MOVIE,2022,,89,['US'],,tt15558152,4.2,1524,51.124,5.8,'horror', 'thriller', 'drama',,,,,,
tm884133,House of Gucci,MOVIE,2021,R,158,"['US', 'CA', 'GB']",,tt11214590,6.6,141934,36.333,6.6,'drama', 'crime', 'history', 'thriller',,,,,
tm1206680,Alienoid,MOVIE,2022,,142,['KR'],,tt20168564,6.3,3248,114.042,7.2,'action', 'fantasy', 'scifi',,,,,,
ts251918,A League of Their Own,SHOW,2022,TV-14,53,['US'],1,tt8226360,7.5,22822,8.304,7.259,'drama', 'comedy', 'sport', 'family', 'romance',,,,
tm1126829,Orphan: First Kill,MOVIE,2022,R,99,"['CA', 'US']",,tt11851548,5.9,36194,147.136,6.8,'horror', 'thriller', 'crime', 'drama',,,,,
ts296664,Dinner Club,SHOW,2021,,41,['IT'],2,tt14750652,7.5,503,18.83,6.792,'documentation', 'comedy',,,,,,,
tm1034573,Downton Abbey: A New Era,MOVIE,2022,PG,124,"['US', 'GB']",,tt11703710,7.4,25006,22.673,7.2,'drama', 'romance',,,,,,,
tm871378,Dog,MOVIE,2022,PG-13,101,['US'],,tt11252248,6.5,38690,125.36,7.4,'fantasy', 'animation', 'action', 'family', 'comedy', 'drama',,,
